Region,2010,2015,2020
Beijing,110,150,190
Tianjin,30,252.6,753
Hebei,3720,8905.2,20148
Shanxi,370,6690,19740
InnerMongolia,9730,24250,37860
Liaoning,3080,5568.1,8692
Jilin,2210,4440,5770
Heilongjiang,1910,5030,6860
Shanghai,140,532,727
Jiangsu,1370,3590,13707
Zhejiang,250,906.2,1648
Anhui,0,1360,4120
Fujian,550,1498.7,4306
Jiangxi,80,670,5100
Shandong,1380,6282.5,15904
Henan,50,910,15180
Hubei,60,1350,5020
Hunan,38,1514,6690
Guangdong,620,2143.5,5006
Guangxi,0,40,5786
Hainan,210,224,257
Chongqing,50,230,970
Sichuan,0,730,4260
Guizhou,0,3230,5800
Yunnan,340,6140,8810
Tibet,0,10,10
Shaanxi,0,1140,8920
Gansu,1390,12520,13730
Qinghai,0,470,8430
Ningxia,510,8220,13770
Xinjiang,1360,16910,23610
