Region,2010,2015,2020
Beijing,0,76,620
Tianjin,0,121,1640
Hebei,0,2219,21900
Shanxi,0,1115,13090
InnerMongolia,0,4705,12370
Liaoning,0,163,4000
Jilin,0,67,3380
Heilongjiang,0,21,3180
Shanghai,0,211,1370
Jiangsu,0,4224,16840
Zhejiang,0,1637,15170
Anhui,0,1208,13700
Fujian,0,129,2020
Jiangxi,0,435,7760
Shandong,0,1327,22720
Henan,0,408,11750
Hubei,0,480,6980
Hunan,0,169,3910
Guangdong,0,617,7970
Guangxi,0,122,2050
Hainan,0,159,1430
Chongqing,0,0,670
Sichuan,0,364,1910
Guizhou,0,30,10570
Yunnan,0,1174,3880
Tibet,0,170,1370
Shaanxi,0,720,10890
Gansu,0,6096,9820
Qinghai,0,5630,16010
Ningxia,0,3088,11970
Xinjiang,0,5287,12660
